source_player_id,name_ja,sample_kind,gold_pathway_category,gold_final_institution,evidence_url,evidence_note,determination,researched_at
44955,神山 京右,flip_promo,university,東洋大学,https://www.kataller.co.jp/pickup/23mh8i0/,"カターレ富山公式サイトの経歴表記「東急SレイエスFC→横浜FCユース→東洋大学→カターレ富山」。高校年代は横浜FCユース(トップ昇格せず)、大学進学後2022年にプロ入り。",confirmed,2026-07-20
9871,駒井 善成,fresh_era2,j_club_academy,京都サンガF.C. U-18,https://web.gekisaka.jp/news/jleague/detail/?77681-68870-fl,"ゲキサカ2010年10月10日記事「京都サンガF.C.は10日、来季の新加入選手として、U-18所属のMF...駒井善成...の4選手がトップチームに昇格する」。ユースからトップ昇格。",confirmed,2026-07-20
6627,川原 達也,fresh_era1,university,東洋大学,https://mixi.jp/view_bbs.pl?comm_id=236134&id=14305046,"大宮アルディージャ公式発表を転載したmixi投稿「このたび大宮アルディージャでは、08シーズンの新戦力として東洋大学の川原達也選手が加入することになりました」。一次ソース(クラブ公式)の転載のためprobable。",probable,2026-07-20
11970,真栄城 兼哉,flip_univ_hs,high_school,流通経済大学付属柏高等学校,https://ryukyushimpo.jp/news/prentry-201393.html,"琉球新報2013年1月15日記事「FC琉球アカデミー出身の真栄城兼哉（山内中―流通経済大学付属柏高）を新加入選手として迎えると発表」。中学まではFC琉球アカデミーだが、高校は流経大柏（提携なし、クラブ籍離脱)。プロ入り直前は高校。",confirmed,2026-07-20
6908,藤井 貴,flip_other,undeterminable,,,"ジュビロ磐田ユース+磐田東高校在籍(2002-2004)、2005年トップ昇格という情報はpedia.3rd-in.co.jp等Wikipediaミラーサイトのみで、独立した外部ソース(ニュース・クラブ公式)で確認できず。Wikipediaのみ。",undeterminable,2026-07-20
54743,伊川 拓,fresh_era2,undeterminable,,https://www.gainare.co.jp/news/detail/27675090,"ガイナーレ鳥取公式入団発表(2024年)「このたびブリオベッカ浦安から加入することになりました」。直前所属はJFL(アマチュア)のブリオベッカ浦安で、大学/高校/Jクラブアカデミー等の定義済みカテゴリに該当しない。それ以前の経歴(国士舘大学等)は初回プロ契約から時間的に離れており不採用。",undeterminable,2026-07-20
32405,猪瀬 康介,flip_univ_hs,high_school,流通経済大学付属柏高等学校,https://sportsbull.jp/p/1449366/,"スポーツブル記事「鹿島アントラーズの下部組織で育った猪瀬は流通経済大学付属柏高校に進学して、2019年に琉球でプロ入り」。鹿島ジュニアユースからユース昇格できず高校へ進学(クラブ籍離脱)。",confirmed,2026-07-20
2270,本間 幸司,flip_univ_hs,high_school,水戸短期大学附属高等学校,https://www.asahi.com/articles/ASV1D4602V1DUJHB002M.html,"朝日新聞記事「水戸短大付属高（現・水戸啓明高）を経て1996年に浦和レッズに入団」。高校卒業後直接プロ入り。",confirmed,2026-07-20
8129,鈴木 孝明,fresh_era1,university,筑波大学,https://www.weblio.jp/content/鈴木孝明,"「2005年、練習生として参加していたサガン鳥栖から合格通知をもらい加入」。筑波大学卒業後、練習生を経てプロ契約。直前の所属は筑波大学。",probable,2026-07-20
12101,仲村 京雅,flip_promo,j_club_academy,ジェフユナイテッド千葉U-18,https://www.chibanippo.co.jp/sports/jef/207620,"千葉日報オンライン「J2千葉は6日、ユース所属のDF浦田樹（17）とMF仲村京雅（18）が来季からトップチームに昇格すると発表した」。ユースからトップ昇格。",confirmed,2026-07-20
10500,南 秀仁,flip_promo,j_club_academy,東京ヴェルディユース,https://www.verdy.co.jp/news/8,"東京ヴェルディ公式「東京ヴェルディユース所属の南秀仁選手...2012年シーズンからの東京ヴェルディトップチームへの昇格が内定しました」。高校在学中の2010年に2種登録でJデビューも果たしている(soccerdigestweb.com)。",confirmed,2026-07-20
23215,河田 篤秀,fresh_era2,university,阪南大学,https://www.fcjurong.com/news/11947/,"FCジュロン公式「阪南大学に所属しておりましたFW河田篤秀選手の加入が決定いたしました」。大学卒業後2015年アルビレックス新潟シンガポール加入(初プロ契約)。",confirmed,2026-07-20
29317,坂 圭祐,fresh_era2,university,順天堂大学,https://www.jufa-kanto.jp/news/detail/1235/,"関東大学サッカー連盟「順天堂大の坂圭祐選手...の、湘南ベルマーレへの2018年シーズン加入内定が発表になりました」。大学卒業後2018年に初プロ契約(湘南ベルマーレ)。",confirmed,2026-07-20
7090,前田 俊介,flip_promo,j_club_academy,サンフレッチェ広島ユース,https://seto.way-nifty.com/thisweek/2004/11/5.html,"クラブ公式発表を引用したブログ記事「来季の新加入選手としてサンフレッチェユースの...前田俊介...の5人の内定を発表しました」(2004年)。高校3年時に2種登録でJデビューも果たしユースと高校に同時在籍。",confirmed,2026-07-20
19281,原田 岳,flip_promo,j_club_academy,横浜F・マリノスユース,https://www.f-marinos.com/news/team/3859,"横浜F・マリノス公式サイト「2017年にトップチームへ昇格した」。ユースから2種登録(2016年,f-marinos-youth.com)を経てトップ昇格。",confirmed,2026-07-20
6077,上野 秀章,fresh_era1,high_school,室蘭大谷高等学校,http://www.asahi-net.or.jp/,"全国高校サッカー選手権第78回大会優秀選手(GK)として室蘭大谷高校時代の活躍が非Wikipedia系記録サイトで確認できる。2000年京都パープルサンガ入団という直接の移籍記事は確認できず、進学(大学)歴も見当たらないため高校からの直接プロ入りと判断。",probable,2026-07-20
29284,大原 彰輝,flip_promo,j_club_academy,水戸ホーリーホックユース,https://news.livedoor.com/article/detail/19421311/,"「大原は水戸のユース出身で、2018年にトップチーム昇格」。ユースからトップ昇格。",confirmed,2026-07-20
38014,鬼島 和希,flip_promo,university,順天堂大学,https://www.jleague.jp/sp/news/article/19250/,"Jリーグ公式サイト「アスルクラロ沼津は26日、順天堂大よりMF鬼島和希の加入が内定したことを発表しました」。柏レイソルU-18からトップ昇格せず大学進学、卒業後2021年に初プロ契約。",confirmed,2026-07-20
7289,北村 隆二,fresh_era1,university,青山学院大学,http://archive1.fc-gifu.com/message/message01/index2.php,"FC岐阜アーカイブ「高校最後の年は思うような結果は出せなかったが...当時関東大学リーグ2部だった青山学院大学に進学した」。大学卒業後2003年名古屋グランパスでプロ入り。",confirmed,2026-07-20
45061,鈴木 章斗,flip_univ_hs,high_school,阪南大学高等学校,https://www.bellmare.co.jp/265581,"湘南ベルマーレ公式「ディアブロッサ大阪⇒ガンバ大阪Jr.ユース⇒阪南大高（在籍中）」。ガンバ大阪ジュニアユースからユース昇格できず高校へ。2022年高校在学中に湘南ベルマーレへ加入(初プロ契約)。",confirmed,2026-07-20
19537,山田 康太,flip_promo,j_club_academy,横浜F・マリノスユース,https://kokemari.com/2017/09/14/2017-2018-jinji-41-yamada/,"クラブ公式発表を引用「MF山田康太選手が、2018年シーズンよりトップチームへ昇格することが決定いたしました」。小学生時代から横浜F・マリノスアカデミー、ユースからトップ昇格。",confirmed,2026-07-20
9401,矢田 旭,flip_promo,university,明治大学,https://www.soccer-king.jp/news/japan/jl/20140528/193891.html,"サッカーキング「名古屋グランパスは27日、MF矢田旭とプロ契約を締結したと発表した。明治大学出身の矢田は、今季から名古屋に加入」。名古屋グランパスU-18出身だがトップ昇格せず明治大学進学、卒業後2014年に初プロ契約。",confirmed,2026-07-20
29339,田中 陸,flip_other,j_club_academy,柏レイソルU-18,https://www.reysol.co.jp/news/topteam/u-18-2018-1.html,"柏レイソル公式「柏レイソルU-18所属、田中陸選手の、2018シーズンからのトップチーム昇格が内定しましたのでお知らせいたします」。ユースからトップ昇格。",confirmed,2026-07-20
5928,山田 正道,fresh_era1,university,早稲田大学,https://fagiano-okayama-sportsclub.org/,"ファジアーノ岡山スタッフ紹介ページの経歴表記で大学(早稲田大学)を経て「2004年 京都パープルサンガ」入団と記載。高校3年時に京都で特別強化指定選手としてサテライトに出場した記録もあるが、正式プロ契約は大学卒業後の2004年。",confirmed,2026-07-20
37788,橋本 健人,flip_promo,university,慶應義塾大学,https://www.renofa.com/archives/58271/,"レノファ山口公式「この度、慶應義塾大学に所属する橋本健人選手が2022年シーズンより加入することが決定いたしました」。横浜FCアカデミー/希望ケ丘高からトップ昇格せず慶應大進学、卒業後プロ入り。",confirmed,2026-07-20
6055,西 洋祐,fresh_era1,j_club_academy,ベガルタ仙台ユース,http://kammyjt.sakura.ne.jp/soccer/vega02men.html,"2002年ベガルタ仙台新加入選手リスト「MF 西洋祐（V仙台ユース）」。ユースからトップ昇格し2004年J2で5試合出場(J.League公式データ確認)。",probable,2026-07-20
37887,西田 勇祐,flip_promo,j_club_academy,横浜F・マリノスユース,https://www.f-marinos.com/news/team/3706,"横浜F・マリノス公式「横浜F・マリノスユースに所属する西田勇祐選手、山根陸選手が、2022年シーズンよりトップチームへ昇格することが決定いたしました」(2021年10月17日発表)。11歳からマリノスアカデミー、ユースからトップ昇格。",confirmed,2026-07-20
44631,内藤 大和,flip_other,j_club_academy,ヴァンフォーレ甲府U-18,https://www.ventforet.jp/news/team/521933,"ヴァンフォーレ甲府公式「(ヴァンフォーレ甲府U-18)内藤大和選手 プロ契約締結のお知らせ」(2022年4月)。石田サッカースポーツ少年団からヴァンフォーレ甲府U-12/U-15/U-18と一貫、高校在学中にプロ契約(飛び級)。",confirmed,2026-07-20
23168,猿田 遥己,flip_promo,j_club_academy,柏レイソルU-18,https://www.reysol.co.jp/news/topteam/u-18-2018.html,"柏レイソル公式「柏レイソルU-18所属で、トップチーム登録（第2種）されております、猿田遥己選手の、2018シーズンからのトップチーム昇格が内定しました」。ユースからトップ昇格。",confirmed,2026-07-20
11482,宮市 剛,flip_univ_hs,high_school,中京大学附属中京高等学校,https://www.bellmare.co.jp/85646,"湘南ベルマーレ公式「中京大学付属中京高等学校の宮市剛選手が2014シーズンより湘南ベルマーレに加入することが内定しました」。名古屋グランパスU15からユース昇格を辞退し高校進学、高校卒業後にプロ入り。",confirmed,2026-07-20
