source_player_id,name_ja,stratum,gold_pathway_category,gold_final_institution,evidence_url,evidence_note,determination,researched_at
9467,都並 優太,A_auto_high_conf,university,関西大学,https://naraclub.jp/archives/player/3-%E9%83%BD%E4%B8%A6-%E5%84%AA%E5%A4%AA,クラブ公式選手ページに「東京ヴェルディユース－関西大学－AC長野パルセイロ」と経歴記載。ヴェルディユースからトップ昇格せず関西大学へ進学しプロ入り。,confirmed,2026-07-19
15765,鎌田 大地,A_auto_high_conf,high_school,東山高等学校,https://www.soccerdigestweb.com/news/detail/id=161081,サッカーダイジェストの記事に「東山高校から鳥栖に加入した鎌田」と明記。ガンバ大阪ジュニアユース出身だが最終プロ前は東山高校（部活動）。,confirmed,2026-07-19
23539,守田 英正,A_auto_high_conf,university,流通経済大学,https://www.frontale.co.jp/profile/2018/mem_25.html,クラブ公式選手プロフィールに「金光大阪高等学校を経て流通経済大学に進学」「流通経済大学から川崎フロンターレへ新加入」と明記。,confirmed,2026-07-19
29555,上島 拓巳,A_auto_high_conf,university,中央大学,https://lifepicture.co.jp/labo/archives/21162,柏レイソルアカデミー約10年在籍後、中央大学へ進学しレイソルを離脱。大学在学中の2018年に来季入団内定、2019年にレイソルへプロ加入。最終プロ前は中央大学。,confirmed,2026-07-19
9439,古林 将太,A_auto_high_conf,j_club_academy,湘南ベルマーレユース,https://www.bellmare.co.jp/328682,クラブ公式引退発表に「湘南ベルマーレジュニア→Jr.ユース→ユース→湘南ベルマーレ」と記載。ユースからそのままトップ昇格。,confirmed,2026-07-19
15801,川﨑 裕大,A_auto_high_conf,university,流通経済大学,https://www.soccer-king.jp/player/article/419204.html,サッカーキング選手ページに「成立学園高－流通経済大－サンフレッチェ広島」と経歴記載。2015年にプロ入り。,confirmed,2026-07-19
11423,長澤 和輝,A_reviewed,university,専修大学,https://victorysportsnews.com/articles/472/original,VICTORY記事に八千代高校主将後、専修大学へ進学し大学在学中に横浜FMの強化指定選手を経てFCケルンへ入団と明記。Jリーグ経由せず大学から海外へ。,confirmed,2026-07-19
8775,仙石 廉,A_reviewed,j_club_academy,柏レイソルユース,https://blog.reysol.co.jp/news/2008/005520.html,クラブ公式ブログの加入内定発表に「2006-2008年:柏レイソルU-18(柏日体高在籍)」からの内部昇格と明記。高校は柏レイソルU-18提携の柏日体高。,confirmed,2026-07-19
9979,堀米 勇輝,A_reviewed,j_club_academy,ヴァンフォーレ甲府ユース,https://www.ventforet.jp/news/press_release/517114,クラブ公式移籍発表ページに「2008年～2010年7月:ヴァンフォーレ甲府ユース」在籍中の2010年4月に2種登録、同8月プロ契約と経歴記載。,confirmed,2026-07-19
11177,木下 高彰,A_unknown_label,high_school,浜松開誠館高等学校,https://web.gekisaka.jp/player/?25056-12257-jp=,ゲキサカ選手ページに経歴「浜松開誠館中-浜松開誠館高-磐田」と記載。大学経由せず高校から直接磐田入り。,confirmed,2026-07-19
19165,富澤 雅也,A_unknown_label,university,法政大学,https://web.gekisaka.jp/player/?26155-13638-jp=,ゲキサカ選手ページに経歴「町田JFC-前橋育英高-法政大-長崎」と記載。法政大学から2016年V・ファーレン長崎入団。,confirmed,2026-07-19
9450,鈴木 大輔,A_no_confirmed_article,high_school,星稜高等学校,https://www.reysol.co.jp/fan/contents/ontheway/22-suzuki.php,選手特集記事に星稜高校在学中の2007年にアルビレックス新潟の特別指定選手となり2008年正式プロ入りと記載。大学経由なし。,confirmed,2026-07-19
