source_player_id,name_ja,name_en,wikipedia_title,moved_overseas_wiki,overseas_confidence,overseas_reason,overseas_evidence,reviewed_moved_overseas,reviewer_note
10110,米本 拓司,YONEMOTO Takuji,米本拓司,yes,needs_review,weak_country_move_signal_only,米本自身は入団会見時に自身のプレーの特徴を「タイプとして似ている浅利（悟）選手が目標」「守備を得意とするので、相手の攻撃の芽をつむプレーに磨きをかけたい」とコメントしている,0,無関係（入団会見コメント）
10140,三平 和司,MITSUHIRA Kazushi,三平和司,yes,needs_review,weak_country_move_signal_only,FC東京の練習に参加をするなど複数クラブから注目されたが、一番早いタイミングで獲得オファーを受けた湘南への加入を決め、2009年8月に翌シーズンからの湘南への加入内定が発表された,0,国内複数クラブから注目も最終的に湘南（国内）加入
10142,山本 脩斗,Shuto YAMAMOTO,山本脩斗,yes,needs_review,weak_country_move_signal_only,さらに2019年は安西が夏にポルトガルへ移籍すると、同時期に加入した小池裕太がポジションを確保したため、自身の出場はわずか6試合に留まった,0,安西という別選手のポルトガル移籍に関する記述
10397,武岡 優斗,Yuto TAKEOKA,武岡優斗,yes,needs_review,weak_country_move_signal_only,2020年2月、レノファ山口FCのタイキャンプに古賀俊太郎と共に練習生として参加し、キャンプ終了後正式加入が認められた,0,国内クラブのタイ合宿への練習生参加、移籍ではない
10479,山中 亮輔,YAMANAKA Ryosuke,山中亮輔,yes,needs_review,weak_country_move_signal_only,8月10日、トルコリーグ1部、イスタンブール・バシャクシェヒルFKから完全移籍でのオファーが来ていることを認めたが残留した,0,トルコクラブのオファーを認めたが残留
10502,犬飼 智也,INUKAI Tomoya,犬飼智也,yes,needs_review,weak_country_move_signal_only,加入後は昌子源と植田直通の日本代表コンビを前にポジションを奪うことは出来ず、W杯明けの植田移籍後に代役として期待されたが、韓国代表チョン・スンヒョンが加入したためにレギュラーとして活躍することは無かった,0,韓国代表選手が加入したという競合選手の記述
10523,深井 脩平,Shuhei FUKAI,深井脩平,yes,needs_review,weak_country_move_signal_only,2021年2月8日にマレーシアのクランタン・ユナイテッドFCへの移籍を発表,1,マレーシア・クランタン・ユナイテッドFCへの移籍を発表
10529,飯田 健巳,Tatsumi IIDA,飯田健巳,yes,needs_review,weak_country_move_signal_only,登録ウインドー適用の例外措置としての加入のため、飯田は6月15日付けで選手登録が抹消されたが、7月20日付けで再登録された,0,登録ウインドー例外措置の話、海外移籍ではない
10561,矢島 慎也,YAJIMA Shinya,矢島慎也,yes,needs_review,weak_country_move_signal_only,2013年シーズンに入ると、開幕から興梠慎三、阪野豊史の加入もありベンチ外が続いていたが、ベンチ入りのチャンスを掴むと5月18日サガン鳥栖戦にアディショナルタイムに途中出場すると、リーグ戦初ゴールを決めた,0,無関係（興梠慎三加入によるベンチ外の話）
10908,山田 大記,Hiroki YAMADA,山田大記,yes,needs_review,retracted_language_present,磐田側は残留を希望したが、山田の強い海外移籍の意志を容認し、同年7月24日に公式に完全移籍が発表された,1,完全移籍が発表された（残留希望は却下された選択肢）
