source_player_id,era,birth_year,composite_reason,prose_category,club_list_category,club_list_institution,club_history,reviewed_pathway_category,reviewer_note
3152,era1,1982,club_list_answers_confirmed_unknown,unknown,j_club_academy,,熊本YMCA → TOAスポーツジュニアユース → 清水エスパルスジュニアユース → 清水エスパルスユース(1998-2000) → 清水エスパルス(2001-2010) → 同年12月 コンサドーレ札幌(2010) → コンサドーレ札幌(2011-2012) → 清水エスパルス(2013-2015) → 同年12月 モンテディオ山形(2015) → 東京ヴェルディ(2016-2017),,
3176,era1,1981,club_list_answers_confirmed_unknown,unknown,university,,- 1993年 高島平サッカークラブ → 板橋区立西台中学校(1994-1996) → ヴェルディユース(1997-1999) → ヴェルディ川崎(1998-1999)[2種/特別指定] → 明治大学(2000-2003) → 東京ヴェルディ1969(2003-2003)[2種/特別指定] → 東京ヴェルディ1969/東京ヴェルディ(2004-2008) → 横浜FC(2008-2008) → 横浜FC(2009-2010) → ガイナーレ鳥取(2011-2014) → 福島ユナイテッドFC(2015-2016),,
6517,era1,1983,club_list_answers_confirmed_unknown,unknown,j_club_academy,,原FC(1992-1994) → ベルマーレ平塚ジュニアユース(1995-1997) → 湘南ベルマーレユース(1998-2000) → ヴァンフォーレ甲府(2001-2002) → 京都パープルサンガ(2002-2002) → 京都パープルサンガ/京都サンガF.C.(2003-2007) → ヴァンフォーレ甲府(2008-2009) → ガイナーレ鳥取(2010-2012) → FC岐阜(2013-2014),,
6824,era1,1983,club_list_answers_confirmed_unknown,unknown,high_school,,菰野町立菰野中学校(1996-1998) → 四日市中央工高等学校(1999-2001) → 横浜FC(2002-2008) → 大宮アルディージャ(2008-2008) → 大宮アルディージャ(2009-2010) → ヴァンフォーレ甲府(2011-2011) → 横浜FC(2012-2016) → 南区足球会(2017-2017),,
7228,era1,1984,club_list_answers_confirmed_unknown,unknown,high_school,,和光少年団 → バーモス恵庭 → 北海高校 → コンサドーレ札幌(2003-2004) → ロッソ熊本/ロアッソ熊本(2005-2012) → 横浜FC(2013-2016) → カマタマーレ讃岐(2017-2019),,
7269,era1,1984,club_list_answers_confirmed_unknown,unknown,high_school,,成美サッカースポーツ少年団 → FCひがし → 富山第一高校 → 鹿島アントラーズ(2003-2007) → ベガルタ仙台(2006-2007) → ベガルタ仙台(2008-2012) → モンテディオ山形(2012-2012) → モンテディオ山形(2013-2015) → FC町田ゼルビア(2016-2025) → カターレ富山(2026),,
7270,era1,1984,club_list_answers_confirmed_unknown,unknown,high_school,,三重県立四日市中央工業高等学校 → 京都パープルサンガ/京都サンガF.C.(2003-2007) → 名古屋グランパス(2008-2016),,
7276,era1,1984,club_list_answers_confirmed_unknown,unknown,high_school,,- 1996年 御坊キックマンjr.FC → 海南市立第三中学校(1997-1999) → 初芝橋本高等学校(2000-2002) → セレッソ大阪(2003-2018) → 鹿児島ユナイテッドFC(2019-2021),,
7287,era1,1984,club_list_answers_confirmed_unknown,unknown,high_school,,木刈フットボールクラブ → 木刈中学校サッカー部 → 習志野市立習志野高等学校 → 流通経済大学付属柏高等学校 → 名古屋グランパスエイト(2003-2006) → 水戸ホーリーホック(2005-2005) → 同年12月  柏レイソル(2006) → FC岐阜(2007-2008) → FC町田ゼルビア(2009-2010) → 東京ヴェルディ(2011-2012) → FC町田ゼルビア(2013-2023) → いわてグルージャ盛岡(2023-2024),,
7730,era1,1985,club_list_answers_confirmed_unknown,unknown,high_school,,木花少年sc(1992-1997) → 宮崎市立木花中学校(1998-2000) → 鵬翔高等学校(2001-2003) → 鹿島アントラーズ(2004-2012) → モンテディオ山形(2010-2010) → 蔚山現代FC(2013-2016) → 同年12月 大宮アルディージャ(2014) → 同年8月 アル・シャールジャSCC(2017) → 清水エスパルス(2017-2019) → ソウルイーランドFC(2019-2019),,
